Level,Date and Time,Source,Event ID,Task Category
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Intel(R) OEM Extension. Product Version: 1.0.0.0. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Intel(R) Management Engine Components. Product Version: 1.0.0.0. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 XEvent. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Dell Update - SupportAssist Update Plugin. Product Version: 5.1.1.11877. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Windows Subsystem for Linux. Product Version: 2.0.14.0. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Intel(R) LMS. Product Version: 1.0.0.0. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Python 3.12.1 Test Suite (64-bit). Product Version: 3.12.1150.0. Product Language: 1033. Manufacturer: Python Software Foundation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.32.31332. Product Version: 14.32.31332. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Office 16 Click-to-Run Licensing Component. Product Version: 16.0.18227.20162. Product Language: 0. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Office 16 Click-to-Run Localization Component. Product Version: 16.0.12527.20482. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Office 16 Click-to-Run Extensibility Component. Product Version: 16.0.18227.20082. Product Language: 0. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
